timestamp,Y,X,Beta,Signal,Strategy_Ret,Cum_Ret
2025-10-20 12:00:00+00:00,0.6494771838188171,0.5734602212905884,0.28006728337635844,0,,
2025-10-20 13:00:00+00:00,0.6500682234764099,0.5737892985343933,0.28040308290142535,0,0.0,1.0
2025-10-20 14:00:00+00:00,0.651296079158783,0.5745145678520203,0.28129328921983876,0,0.0,1.0
2025-10-20 15:00:00+00:00,0.651932954788208,0.5752416253089905,0.28249664827324766,0,0.0,1.0
2025-10-20 16:00:00+00:00,0.6516780853271484,0.5750762224197388,0.28297674663885597,0,-0.0,1.0
2025-10-20 17:00:00+00:00,0.6515506505966187,0.5748448371887207,0.2831721699955185,0,-0.0,1.0
2025-10-20 18:00:00+00:00,0.6517630219459534,0.5748448371887207,0.283365516200834,0,0.0,1.0
2025-10-20 19:00:00+00:00,0.6515506505966187,0.5746796131134033,0.28342141338760685,0,-0.0,1.0
2025-10-20 20:00:00+00:00,0.6515082716941833,0.5745805501937866,0.28344031804138137,0,-0.0,1.0
2025-10-20 21:00:00+00:00,0.651932954788208,0.5749108791351318,0.28360724853752867,0,0.0,1.0
2025-10-20 22:00:00+00:00,0.6518055200576782,0.5747787356376648,0.28367550949589304,0,-0.0,1.0
2025-10-20 23:00:00+00:00,0.6518479585647583,0.5746135711669922,0.2836895887817098,0,0.0,1.0
2025-10-21 00:00:00+00:00,0.6526136994361877,0.5752416253089905,0.28413858929277863,0,0.0,1.0
2025-10-21 01:00:00+00:00,0.6515931487083435,0.5742835998535156,0.2841058413972658,0,-0.0,1.0
2025-10-21 02:00:00+00:00,0.6509568691253662,0.5734602212905884,0.28431564937005604,0,-0.0,1.0
2025-10-21 03:00:00+00:00,0.6507450938224792,0.5732958912849426,0.28463161460048625,0,-0.0,1.0
2025-10-21 04:00:00+00:00,0.6505334377288818,0.5730658769607544,0.285053589210553,0,-0.0,1.0
2025-10-21 05:00:00+00:00,0.64939284324646,0.5721151232719421,0.28684522717817373,0,-0.0,1.0
2025-10-21 06:00:00+00:00,0.6498570442199707,0.5725081562995911,0.28761213390469925,0,0.0,1.0
2025-10-21 07:00:00+00:00,0.6490135192871094,0.571918785572052,0.2893135515656759,0,-0.0,1.0
2025-10-21 08:00:00+00:00,0.6488029360771179,0.5717552900314331,0.2909730608121458,0,-0.0,1.0
2025-10-21 09:00:00+00:00,0.648929238319397,0.5717552900314331,0.2921429433948306,0,0.0,1.0
2025-10-21 10:00:00+00:00,0.6490135192871094,0.5718206763267517,0.2929614204609238,0,0.0,1.0
2025-10-21 11:00:00+00:00,0.64939284324646,0.5724098682403564,0.29320341742673556,0,0.0,1.0
2025-10-21 12:00:00+00:00,0.649645984172821,0.5729673504829407,0.2931920081900128,0,0.0,1.0
2025-10-21 13:00:00+00:00,0.6479621529579163,0.5724426507949829,0.2938103110706017,0,-0.0,1.0
2025-10-21 14:00:00+00:00,0.6493085026741028,0.5737892985343933,0.2933371157838219,0,0.0,1.0
2025-10-21 15:00:00+00:00,0.6500259637832642,0.5747126340866089,0.29305345992461784,0,0.0,1.0
2025-10-21 16:00:00+00:00,0.6494349837303162,0.5744815468788147,0.292401254969748,0,-0.0,1.0
2025-10-21 17:00:00+00:00,0.6491820216178894,0.5745145678520203,0.2916545516415936,0,-0.0,1.0
2025-10-21 18:00:00+00:00,0.6492241621017456,0.574547529220581,0.29106523129246276,0,0.0,1.0
2025-10-21 19:00:00+00:00,0.6492663025856018,0.5746465921401978,0.2905587754601489,0,0.0,1.0
2025-10-21 20:00:00+00:00,0.6489713788032532,0.5743165612220764,0.29019816572554674,0,-0.0,1.0
2025-10-21 21:00:00+00:00,0.6492241621017456,0.5741187334060669,0.29008604881474365,0,0.0,1.0
2025-10-21 22:00:00+00:00,0.6493085026741028,0.574349582195282,0.28994641303528673,0,0.0,1.0
2025-10-21 23:00:00+00:00,0.64939284324646,0.5744155049324036,0.28984674956142054,0,0.0,1.0
2025-10-22 00:00:00+00:00,0.6488450169563293,0.5744155049324036,0.2895672462212497,0,-0.0,1.0
2025-10-22 01:00:00+00:00,0.6492241621017456,0.5744155049324036,0.2894666854997545,0,0.0,1.0
2025-10-22 02:00:00+00:00,0.649645984172821,0.5749439597129822,0.2894645542626588,0,0.0,1.0
2025-10-22 03:00:00+00:00,0.6497303247451782,0.5749439597129822,0.28951163483583126,0,0.0,1.0
2025-10-22 04:00:00+00:00,0.6501528024673462,0.5753408670425415,0.28980776486578247,0,0.0,1.0
2025-10-22 05:00:00+00:00,0.6506181359291077,0.5757383704185486,0.290467052779037,0,0.0,1.0
2025-10-22 06:00:00+00:00,0.6509145498275757,0.5759705305099487,0.2913156162528518,0,0.0,1.0
2025-10-22 07:00:00+00:00,0.6506181359291077,0.5755395889282227,0.29167557072749645,0,-0.0,1.0
2025-10-22 08:00:00+00:00,0.6497303247451782,0.5749439597129822,0.29164115031200627,0,-0.0,1.0
2025-10-22 09:00:00+00:00,0.649814784526825,0.5748117566108704,0.2916371631654465,0,0.0,1.0
2025-10-22 10:00:00+00:00,0.648929238319397,0.5741187334060669,0.2919156547962804,0,-0.0,1.0
2025-10-22 11:00:00+00:00,0.6486766934394836,0.5740528106689453,0.29224920100357477,0,-0.0,1.0
2025-10-22 12:00:00+00:00,0.6490978002548218,0.5744155049324036,0.2922941002415388,0,0.0,1.0
2025-10-22 13:00:00+00:00,0.6495193243026733,0.5745145678520203,0.29229454310521896,0,0.0,1.0
2025-10-22 14:00:00+00:00,0.6494771838188171,0.5744155049324036,0.2922974195268838,0,-0.0,1.0
