,equity
2020-01-01 00:00:00+00:00,1.0
2020-01-02 00:00:00+00:00,1.0
2020-01-03 00:00:00+00:00,1.0
2020-01-04 00:00:00+00:00,1.0
2020-01-05 00:00:00+00:00,1.0
2020-01-06 00:00:00+00:00,1.0
2020-01-07 00:00:00+00:00,1.0
2020-01-08 00:00:00+00:00,1.0
2020-01-09 00:00:00+00:00,1.0
2020-01-10 00:00:00+00:00,1.0
2020-01-11 00:00:00+00:00,1.0
2020-01-12 00:00:00+00:00,1.0
2020-01-13 00:00:00+00:00,1.0
2020-01-14 00:00:00+00:00,1.0
2020-01-15 00:00:00+00:00,1.0
2020-01-16 00:00:00+00:00,1.0
2020-01-17 00:00:00+00:00,1.0
2020-01-18 00:00:00+00:00,1.0
2020-01-19 00:00:00+00:00,1.0
2020-01-20 00:00:00+00:00,1.0
2020-01-21 00:00:00+00:00,1.0
2020-01-22 00:00:00+00:00,1.0
2020-01-23 00:00:00+00:00,1.0
2020-01-24 00:00:00+00:00,1.0
2020-01-25 00:00:00+00:00,1.0
2020-01-26 00:00:00+00:00,1.0
2020-01-27 00:00:00+00:00,1.0
2020-01-28 00:00:00+00:00,1.0
2020-01-29 00:00:00+00:00,1.0
2020-01-30 00:00:00+00:00,1.0
2020-01-31 00:00:00+00:00,1.0
2020-02-01 00:00:00+00:00,1.0
2020-02-02 00:00:00+00:00,1.0
2020-02-03 00:00:00+00:00,1.0
2020-02-04 00:00:00+00:00,1.0
2020-02-05 00:00:00+00:00,1.0
2020-02-06 00:00:00+00:00,1.0
2020-02-07 00:00:00+00:00,1.0
2020-02-08 00:00:00+00:00,1.0
2020-02-09 00:00:00+00:00,1.0
2020-02-10 00:00:00+00:00,1.0
2020-02-11 00:00:00+00:00,1.0
2020-02-12 00:00:00+00:00,1.0
2020-02-13 00:00:00+00:00,1.0
2020-02-14 00:00:00+00:00,1.0
2020-02-15 00:00:00+00:00,1.0
2020-02-16 00:00:00+00:00,1.0
2020-02-17 00:00:00+00:00,1.0
2020-02-18 00:00:00+00:00,1.0
2020-02-19 00:00:00+00:00,1.0
2020-02-20 00:00:00+00:00,1.0008532888465205
2020-02-21 00:00:00+00:00,1.0018064824549455
2020-02-22 00:00:00+00:00,1.0027596760633708
2020-02-23 00:00:00+00:00,1.003712869671796
2020-02-24 00:00:00+00:00,1.0046660632802213
2020-02-25 00:00:00+00:00,1.0056192568886466
2020-02-26 00:00:00+00:00,1.0065724504970717
2020-02-27 00:00:00+00:00,1.007525644105497
2020-02-28 00:00:00+00:00,1.0084788377139222
2020-02-29 00:00:00+00:00,1.0094320313223475
2020-03-01 00:00:00+00:00,1.0103852249307728
2020-03-02 00:00:00+00:00,1.011338418539198
2020-03-03 00:00:00+00:00,1.0122916121476235
2020-03-04 00:00:00+00:00,1.0132448057560486
2020-03-05 00:00:00+00:00,1.014197999364474
2020-03-06 00:00:00+00:00,1.0151511929728991
2020-03-07 00:00:00+00:00,1.0161043865813244
2020-03-08 00:00:00+00:00,1.01705758018975
2020-03-09 00:00:00+00:00,1.018010773798175
2020-03-10 00:00:00+00:00,1.0189639674066004
2020-03-11 00:00:00+00:00,1.0199171610150257
2020-03-12 00:00:00+00:00,1.020870354623451
2020-03-13 00:00:00+00:00,1.0218235482318763
2020-03-14 00:00:00+00:00,1.0227767418403015
2020-03-15 00:00:00+00:00,1.023729935448727
2020-03-16 00:00:00+00:00,1.024683129057152
2020-03-17 00:00:00+00:00,1.0256363226655774
2020-03-18 00:00:00+00:00,1.0265895162740026
2020-03-19 00:00:00+00:00,1.027542709882428
2020-03-20 00:00:00+00:00,1.0284959034908532
2020-03-21 00:00:00+00:00,1.0294490970992785
2020-03-22 00:00:00+00:00,1.0304022907077035
2020-03-23 00:00:00+00:00,1.031355484316129
2020-03-24 00:00:00+00:00,1.032308677924554
2020-03-25 00:00:00+00:00,1.0332618715329793
2020-03-26 00:00:00+00:00,1.0342150651414046
2020-03-27 00:00:00+00:00,1.0351682587498299
2020-03-28 00:00:00+00:00,1.0361214523582551
2020-03-29 00:00:00+00:00,1.0370746459666802
2020-03-30 00:00:00+00:00,1.0380278395751055
2020-03-31 00:00:00+00:00,1.0389810331835307
2020-04-01 00:00:00+00:00,1.039934226791956
2020-04-02 00:00:00+00:00,1.0408874204003813
2020-04-03 00:00:00+00:00,1.0418406140088066
2020-04-04 00:00:00+00:00,1.0427938076172318
2020-04-05 00:00:00+00:00,1.043747001225657
2020-04-06 00:00:00+00:00,1.0447001948340822
2020-04-07 00:00:00+00:00,1.0456533884425074
2020-04-08 00:00:00+00:00,1.0466065820509327
2020-04-09 00:00:00+00:00,1.0475597756593582
2020-04-10 00:00:00+00:00,1.0485129692677833
2020-04-11 00:00:00+00:00,1.0494661628762083
2020-04-12 00:00:00+00:00,1.0504193564846338
2020-04-13 00:00:00+00:00,1.051372550093059
2020-04-14 00:00:00+00:00,1.0523257437014846
2020-04-15 00:00:00+00:00,1.0532789373099098
2020-04-16 00:00:00+00:00,1.0542321309183351
2020-04-17 00:00:00+00:00,1.0551853245267606
2020-04-18 00:00:00+00:00,1.0561385181351859
2020-04-19 00:00:00+00:00,1.0570917117436112
2020-04-20 00:00:00+00:00,1.0580449053520362
2020-04-21 00:00:00+00:00,1.0589980989604615
2020-04-22 00:00:00+00:00,1.059951292568887
2020-04-23 00:00:00+00:00,1.060904486177312
2020-04-24 00:00:00+00:00,1.0618576797857375
2020-04-25 00:00:00+00:00,1.0628108733941626
2020-04-26 00:00:00+00:00,1.0637640670025876
2020-04-27 00:00:00+00:00,1.0647172606110131
2020-04-28 00:00:00+00:00,1.0656704542194384
2020-04-29 00:00:00+00:00,1.066623647827864
2020-04-30 00:00:00+00:00,1.0675768414362892
2020-05-01 00:00:00+00:00,1.0685300350447142
2020-05-02 00:00:00+00:00,1.0694832286531397
2020-05-03 00:00:00+00:00,1.0704364222615648
2020-05-04 00:00:00+00:00,1.0713896158699903
2020-05-05 00:00:00+00:00,1.0723428094784155
2020-05-06 00:00:00+00:00,1.0732960030868408
2020-05-07 00:00:00+00:00,1.074249196695266
2020-05-08 00:00:00+00:00,1.0752023903036914
2020-05-09 00:00:00+00:00,1.0761555839121166
2020-05-10 00:00:00+00:00,1.0771087775205417
2020-05-11 00:00:00+00:00,1.078061971128967
2020-05-12 00:00:00+00:00,1.0790151647373925
2020-05-13 00:00:00+00:00,1.0799683583458177
2020-05-14 00:00:00+00:00,1.080921551954243
2020-05-15 00:00:00+00:00,1.0818747455626683
2020-05-16 00:00:00+00:00,1.0828279391710933
2020-05-17 00:00:00+00:00,1.0837811327795188
2020-05-18 00:00:00+00:00,1.0847343263879439
2020-05-19 00:00:00+00:00,1.0856875199963691
2020-05-20 00:00:00+00:00,1.0866407136047944
2020-05-21 00:00:00+00:00,1.0875939072132195
2020-05-22 00:00:00+00:00,1.088547100821645
2020-05-23 00:00:00+00:00,1.0895002944300702
